arti_time,hour,minute,second,accX,accY,accX,gyroX,gyroY,gyroZ
1000,16,35,17,-6424,-6080,10768,518,1284,4224
1000,16,35,18,-6616,-6040,10752,518,1281,4224
1000,16,35,19,-6496,-6080,10752,516,1300,4224
1000,16,35,16,-6584,-5664,10496,516,1300,4224
1000,16,35,26,-6368,-5664,11040,512,1300,4224
1000,16,35,27,-6552,-6112,10496,512,1284,4224
1000,16,35,28,-6392,-6104,10752,512,1301,4224
1000,16,35,29,-6592,-5656,11012,518,1301,4224
1000,16,35,26,-6424,-6008,10784,512,1280,4224
1000,16,35,27,-6520,-6112,10756,516,1285,4224
1000,16,35,28,-6336,-6016,10752,514,1296,0
1000,16,35,29,-6432,-6016,10528,514,1296,4224
1000,16,35,26,-6464,-5880,10792,516,1297,4224
1000,16,35,27,-6328,-6040,10768,518,1301,4224
1000,16,35,36,-6432,-6072,10544,514,1285,4224
1000,16,35,37,-6464,-5920,10528,516,1297,4224
1000,16,35,38,-6424,-6104,10544,516,1296,4224
1000,16,35,39,-6520,-6048,10788,518,1300,4224
1000,16,35,36,-6336,-5656,10288,514,1281,4224
1000,16,35,37,-6272,-5984,10544,518,1285,4224
1000,16,35,38,-6456,-6008,10772,516,1301,4224
1000,16,35,39,-6368,-6112,10776,518,1285,4224
1000,16,35,36,-6528,-5720,10752,518,1281,4224
1000,16,35,37,-6432,-6040,10752,512,1301,4224
1000,16,35,46,-6272,-6048,10496,518,1301,4224
1000,16,35,47,-6272,-6112,10752,516,1301,4224
1000,16,35,48,-6560,-5688,10816,512,1296,4224
1000,16,35,49,-6400,-5752,10564,516,1297,4224
1000,16,35,46,-6456,-5664,10752,514,1281,4224
1000,16,35,47,-6336,-6112,10820,518,1284,4224
1000,16,35,48,-6520,-6144,10752,514,1300,4224
1000,16,35,49,-6488,-6048,10760,514,1284,4224
1000,16,35,46,-6400,-6104,11008,512,1301,4224
1000,16,35,47,-6456,-6048,10560,516,1296,4224
1000,16,35,56,-6528,-5696,10768,512,1284,4224
1000,16,35,57,-6528,-6008,10576,516,1296,4224
1000,16,35,58,-6528,-6048,10832,512,1300,4224
1000,16,35,59,-6496,-5856,10516,518,1285,4224
1000,16,35,56,-6368,-6080,10752,514,1301,4224
1000,16,35,57,72,-5816,8528,518,1300,4224
1000,16,35,58,-6520,384,10500,516,1300,4224
1000,16,35,56,-6424,-5664,10776,516,1300,4224
1000,16,35,57,-6496,-5696,10752,514,1297,4224
1000,16,30,6,-6264,-6016,10496,518,1300,4224
1000,16,30,7,-6360,-6008,10496,514,1300,4224
1000,16,30,8,-6432,-5952,10752,514,1301,4224
1000,16,30,9,-6584,-6104,11012,512,1284,4224
1000,16,30,6,-6200,-5856,10496,518,1296,4224
1000,16,30,7,-6264,-6048,10752,512,1285,4224
1000,16,30,8,-6560,-6072,10756,516,1281,4224
1000,16,30,9,-6520,-5752,10760,518,1281,4224
