interval,hour,minute,second,acX,acY,acX,gyX,gyY,gyZ,denoisedAcX,denoisedAcY,denoisedAcZ
5,16,30,8,1832,-5720,10756,516,1300,4224,-52,40,136
5,16,30,8,1984,-5728,10752,512,1280,4224,100,32,132
5,16,30,8,1800,-5760,10756,512,1280,4224,-84,0,136
5,16,30,8,1888,-5752,10756,516,1285,4224,4,8,136
5,16,30,8,1736,-5760,10500,518,1280,4224,-148,0,-120
5,16,30,8,1952,-5784,10756,514,1297,4224,68,-24,136
5,16,30,8,1920,-5696,10756,512,1301,4224,36,64,136
5,16,30,8,1856,-5728,10756,512,1297,4224,-28,32,136
5,16,30,8,1832,-5656,10756,518,1297,4224,-52,104,136
5,16,30,8,1920,-5816,10500,514,1300,4224,36,-56,-120
5,16,30,8,1928,-5752,10756,518,1301,4224,44,8,136
5,16,30,8,1856,-5784,10496,512,1284,4224,-28,-24,-124
5,16,30,8,1920,-5720,10496,518,1280,4224,36,40,-124
5,16,30,8,1928,-5728,10496,518,1280,4224,44,32,-124
5,16,30,9,1928,-5664,10752,516,1284,4224,44,96,132
5,16,30,9,1864,-5792,10756,516,1297,4224,-20,-32,136
5,16,30,9,1824,-5760,10500,514,1297,4224,-60,0,-120
5,16,30,9,1960,-5720,10496,516,1281,4224,76,40,-124
5,16,30,9,1800,-5784,10756,518,1300,4224,-84,-24,136
5,16,30,9,1992,-5824,10496,516,1300,4224,108,-64,-124
5,16,30,9,1896,-5696,10752,514,1285,4224,12,64,132
5,16,30,9,1760,-5688,10752,514,1284,4224,-124,72,132
5,16,30,9,1800,-5752,10500,518,1300,4224,-84,8,-120
5,16,30,9,1896,-5760,10756,518,1296,4224,12,0,136
5,16,30,9,1896,-5728,10496,516,1285,4224,12,32,-124
5,16,30,9,1800,-5784,10752,518,1301,4224,-84,-24,132
5,16,30,9,1928,-5856,10496,516,1281,4224,44,-96,-124
5,16,30,9,1992,-5720,10756,514,1284,4224,108,40,136
5,16,30,9,1792,-5728,10756,514,1284,4224,-92,32,136
5,16,30,9,1856,-5728,10500,518,1285,4224,-28,32,-120
5,16,30,9,1928,-5696,10756,518,1281,4224,44,64,136
5,16,30,9,1856,-5720,10500,516,1284,4224,-28,40,-120
5,16,30,9,1856,-5688,10500,512,1281,4224,-28,72,-120
5,16,30,9,1888,-5696,10496,512,1296,4224,4,64,-124
5,16,30,9,1864,-5824,10496,518,1296,4224,-20,-64,-124
5,16,30,9,1888,-5792,10500,518,1281,4224,4,-32,-120
5,16,30,6,1856,-5760,10760,516,1296,4224,-28,0,140
5,16,30,6,1864,-5696,10496,514,1285,4224,-20,64,-124
5,16,30,6,1888,-5784,10496,518,1284,4224,4,-24,-124
5,16,30,6,1896,-5728,10504,516,1285,4224,12,32,-116
5,16,30,6,1952,-5880,10760,516,1281,4224,68,-120,140
5,16,30,6,1896,-5816,10496,518,1281,4224,12,-56,-124
5,16,30,6,1928,-5792,10496,514,1297,4224,44,-32,-124
5,16,30,6,1960,-5720,10496,516,1284,4224,76,40,-124
5,16,30,6,1768,-5888,10496,512,1285,4224,-116,-128,-124
5,16,30,6,1920,-5856,10752,512,1301,4224,36,-96,132
5,16,30,6,1864,-5760,10752,514,1285,4224,-20,0,132
5,16,30,6,1960,-5848,10496,518,1296,4224,76,-88,-124
5,16,30,6,1888,-5752,10504,516,1296,4224,4,8,-116
5,16,30,6,1920,-5664,10504,518,1280,4224,36,96,-116
